Date,Open,High,Low,Close,Adj Close,Volume
2010-11-10,11780,12000,11760,12000,0.012516,807350
2010-11-11,11900,11960,11860,11920,0.012432,572050
2010-11-12,11900,11920,11760,11900,0.012411,815550
2010-11-15,11900,12040,11800,11960,0.012474,1383800
2010-11-16,11980,12100,11800,11960,0.012474,1419750
2010-11-17,11820,11920,11760,11840,0.012349,372800
2010-11-18,11960,11960,11720,11880,0.01239,896850
2010-11-19,11900,12140,11900,12080,0.012599,1956400
2010-11-22,12020,12100,11960,12000,0.012516,1784550
2010-11-23,12000,12080,11940,12000,0.012516,1488450
2010-11-24,11640,12000,11640,11980,0.012495,912900
2010-11-25,12000,12020,11780,11920,0.012432,986550
2010-11-26,11940,11980,11800,11940,0.012453,1102500
2010-11-29,11900,11920,11800,11800,0.012307,653700
2010-11-30,11760,11880,11560,11560,0.012057,3074050
2010-12-01,11700,11720,11560,11620,0.012119,844700
2010-12-02,11720,12300,11680,12260,0.012787,1900650
2010-12-03,12320,12600,12300,12420,0.012954,2897600
2010-12-06,12520,12520,12320,12420,0.012954,733650
2010-12-07,12440,12640,12300,12460,0.012995,2617200
2010-12-08,12460,12520,12300,12460,0.012995,1214900
2010-12-09,12500,12640,12460,12640,0.013183,1549750
2010-12-10,12500,12640,12480,12600,0.013141,2979950
2010-12-13,12740,12740,12580,12640,0.013183,1252100
2010-12-14,12700,12880,12600,12680,0.013225,1533800
2010-12-15,12640,12660,12380,12600,0.013141,1193150
2010-12-16,12500,12500,12300,12300,0.012829,662050
2010-12-17,12400,12520,12380,12520,0.013058,576350
2010-12-20,12460,12600,12460,12600,0.013141,846200
2010-12-21,12600,12680,12540,12600,0.013141,826950
2010-12-22,12600,12760,12600,12680,0.013225,1407950
2010-12-23,12660,12760,12640,12760,0.013308,1237850
2010-12-24,12720,12760,12680,12720,0.013267,678800
2010-12-27,12720,12780,12680,12720,0.013267,614250
2010-12-28,12720,12920,12720,12800,0.01335,770150
2010-12-29,12760,12860,12740,12820,0.022084,1184950
2010-12-30,12800,13140,12800,12980,0.022359,751000
2011-01-03,13060,13740,12980,13740,0.023668,598450
2011-01-04,13800,13840,13580,13820,0.023806,924600
2011-01-05,13540,13600,13380,13580,0.023393,887200
2011-01-06,13600,13600,13260,13420,0.023117,587300
2011-01-07,13100,13300,13020,13260,0.022841,1180350
2011-01-10,13180,13360,13100,13260,0.022841,1468700
2011-01-11,13280,13360,13080,13160,0.022669,1228300
2011-01-12,13160,13260,13120,13240,0.022807,1124450
2011-01-13,13360,13360,13000,13060,0.022497,773400
2011-01-14,13120,13160,12860,13160,0.022669,523550
2011-01-17,13240,13380,13180,13200,0.022738,559100
2011-01-18,13120,13600,13000,13460,0.023186,873050
2011-01-19,13480,13740,13400,13740,0.023668,1388050
2011-01-20,13560,13600,13300,13460,0.023186,972450
2011-01-21,13300,13460,13160,13260,0.022841,722550
2011-01-24,13100,13180,12920,13100,0.022566,1266900
2011-01-25,13100,13160,12940,13100,0.022566,913350
2011-01-26,12940,13320,12940,13260,0.022841,930450
2011-01-27,13300,13600,13260,13400,0.023083,1197950
2011-01-28,13360,13600,13320,13600,0.023427,793350
2011-01-31,13500,13580,13220,13300,0.02291,648700
2011-02-01,13220,13340,13100,13280,0.022876,1130750
2011-02-07,13300,13400,13020,13020,0.022428,977600
2011-02-08,13020,13040,12680,12680,0.021842,2100150
2011-02-09,12620,12680,12460,12680,0.021842,2030650
2011-02-10,12520,12680,12300,12300,0.021188,1470600
2011-02-11,12220,12280,12000,12080,0.020809,2939950
2011-02-14,12120,12360,12120,12340,0.021257,1351050
2011-02-15,12360,12480,12320,12360,0.021291,1915950
2011-02-16,12360,12380,12320,12340,0.021257,1244500
2011-02-17,12320,12520,12300,12440,0.021429,685450
2011-02-18,12380,12440,12220,12360,0.021291,1071800
2011-02-21,12420,12420,12140,12220,0.02105,673200
2011-02-22,12200,12200,11920,11920,0.020533,654050
2011-02-23,11860,12280,11860,12240,0.021084,1581800
2011-02-24,11980,12320,11980,12240,0.021084,893200
2011-02-25,12100,12220,11980,12100,0.020843,853750
2011-02-28,12020,12160,11920,12140,0.020912,926700
2011-03-02,12140,12220,12060,12180,0.020981,1780200
2011-03-03,12200,12220,12120,12120,0.020878,346700
2011-03-04,12400,12400,12120,12280,0.021153,705550
2011-03-07,12240,12280,12080,12180,0.020981,1020600
2011-03-08,11860,12180,11700,12140,0.020912,2473850
2011-03-09,12200,12200,12080,12160,0.020947,1738100
2011-03-10,12100,12100,11840,11860,0.02043,1690000
2011-03-11,11780,11900,11660,11860,0.02043,2705050
2011-03-14,11860,12360,11800,12360,0.021291,545350
2011-03-15,12240,12300,11920,11980,0.020637,1239150
2011-03-16,12020,12360,11980,12000,0.020671,1539250
2011-03-17,11860,11940,11720,11880,0.020464,844250
2011-03-18,11880,11960,11700,11900,0.020499,914150
2011-03-21,11900,11900,11780,11900,0.020499,524400
2011-03-22,11900,11920,11720,11900,0.020499,771100
2011-03-23,11840,11900,11700,11900,0.020499,844250
2011-03-24,11880,11960,11860,11960,0.020602,1882950
2011-03-25,12100,12360,12020,12360,0.021291,1094850
2011-03-28,12300,12420,12240,12320,0.021222,556850
2011-03-29,12260,12260,12120,12200,0.021016,663750
2011-03-30,12240,12440,12240,12440,0.021429,1769700
2011-03-31,12360,12500,12320,12500,0.021532,1120050
2011-04-01,12560,12740,12400,12740,0.021946,1686700
2011-04-04,12720,12760,12520,12760,0.02198,967300
2011-04-05,12700,12740,12460,12680,0.021842,1137950
2011-04-06,12560,12640,12460,12600,0.021705,1142200
2011-04-07,12600,12680,12420,12600,0.021705,1350550
2011-04-08,12620,12620,12360,12440,0.021429,1869900
2011-04-11,12240,12460,12220,12460,0.021463,1988650
2011-04-12,12300,12420,12280,12300,0.021188,347600
2011-04-13,12380,12540,12300,12540,0.021601,533300
2011-04-14,12600,12600,12460,12600,0.021705,819200
2011-04-15,12600,12640,12420,12500,0.021532,827600
2011-04-18,12520,12540,12200,12240,0.021084,366500
2011-04-19,12200,12320,12020,12320,0.021222,1658450
2011-04-20,12400,12540,12360,12520,0.021567,1435350
2011-04-21,12580,12600,12400,12520,0.021567,501150
2011-04-22,12560,12580,12140,12160,0.020947,602800
2011-04-25,12200,12240,12080,12120,0.020878,353750
2011-04-26,12260,12260,12080,12240,0.021084,773000
2011-04-27,12240,12580,12200,12580,0.02167,1468850
2011-04-28,12580,12580,12380,12500,0.021532,890950
2011-04-29,12540,12600,12380,12600,0.021705,1244150
2011-05-02,12600,12860,12600,12840,0.022118,1123300
2011-05-03,12720,12880,12700,12840,0.022118,974700
2011-05-04,12740,12860,12600,12700,0.021877,1723250
2011-05-06,12580,12640,12520,12580,0.02167,1659700
2011-05-09,12520,12600,12520,12600,0.021705,865450
2011-05-11,12480,12600,12400,12580,0.02167,1247600
2011-05-12,12440,12660,12440,12520,0.021567,907700
2011-05-13,12460,12840,12460,12600,0.021705,2343100
2011-05-16,12620,12660,12360,12360,0.021291,1159200
2011-05-17,12300,12360,12180,12240,0.021084,320000
